match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by,Year,best_of_game,regular_tiebreak_trigger,final_set_tiebreak_trigger
20190920-M-Laver_Cup-RR-Jack_Sock-Fabio_Fognini,jack_sock,fabio_fognini,r,r,m,20190920,laver_cup,rr,,,hard,,3,2,Carrie,2019,6,6,6
20190920-M-Laver_Cup-RR-Denis_Shapovalov-Dominic_Thiem,denis_shapovalov,dominic_thiem,l,r,m,20190920,laver_cup,rr,13:00,,hard,John Blom,3,2,Carrie,2019,6,6,6
20190919-M-St_Petersburg-R16-Evgeny_Donskoy-Daniil_Medvedev,evgeny_donskoy,daniil_medvedev,r,r,m,20190919,st_petersburg,r16,7:15 PM,Centre,hard,Fergus Murphy,3,1,Carrie,2019,6,6,6
20190919-M-Biella_CH-R16-Carlos_Berlocq-Paolo_Lorenzi,carlos_berlocq,paolo_lorenzi,r,r,m,20190919,biella_ch,r16,,,clay,,3,1,Zindaras,2019,6,6,6
20190917-M-Sibiu_CH-R32-Danilo_Petrovic-Robin_Haase,danilo_petrovic,robin_haase,r,r,m,20190917,sibiu_ch,r32,15:20,Centre,clay,,3,1,Zindaras,2019,6,6,6
20190916-M-St_Petersburg-R32-Mikhail_Kukushkin-Jannik_Sinner,mikhail_kukushkin,jannik_sinner,r,r,m,20190916,st_petersburg,r32,18:05,,hard,Timo Janzen,3,1,Carrie,2019,6,6,6
20190915-M-Banja_Luka_CH-F-Sumit_Nagal-Tallon_Griekspoor,sumit_nagal,tallon_griekspoor,r,r,m,20190915,banja_luka_ch,f,12:05,Centre,clay,,3,1,Zindaras,2019,6,6,6
20190913-M-Szczecin_CH-QF-Jeremy_Jahn-Albert_Ramos,jeremy_jahn,albert_ramos,r,l,m,20190913,szczecin_ch,qf,14:20,Centre,clay,Kamil Ancygier,3,1,Damian Kust,2019,6,6,6
20190913-M-Davis_Cup_G2_R1-RR-Aljaz_Bedene-Karim_Mohamed_Maamoun,aljaz_bedene,karim_mohamed_maamoun,r,r,m,20190913,davis_cup_g2_r1,rr,,,clay,,3,1,ahmedabdelaal,2019,6,6,6
20190906-M-US_Open-SF-Grigor_Dimitrov-Daniil_Medvedev,grigor_dimitrov,daniil_medvedev,r,r,m,20190906,us_open,sf,4pm,Ashe,hard,Marijana Veljovi_,5,1,Edo,2019,6,6,6
20190904-M-US_Open-QF-Rafael_Nadal-Diego_Schwartzman,rafael_nadal,diego_schwartzman,l,r,m,20190904,us_open,qf,,Arthur Ashe Stadium,hard,Nico Helwerth,5,1,Carrie,2019,6,6,6
20190903-M-US_Open-QF-Stan_Wawrinka-Daniil_Medvedev,stan_wawrinka,daniil_medvedev,r,r,m,20190903,us_open,qf,14:25,Arthur Ashe Stadium,hard,,5,1,Carrie,2019,6,6,6
20190901-M-US_Open-R16-Grigor_Dimitrov-Alex_De_Minaur,grigor_dimitrov,alex_de_minaur,r,r,m,20190901,us_open,r16,13:10,Grandstand,hard,,5,1,Zindaras,2019,6,6,6
