match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by,Year,best_of_game,regular_tiebreak_trigger,final_set_tiebreak_trigger
20220117-W-Australian_Open-R128-Naomi_Osaka-Camila_Osorio,naomi_osaka,camila_osorio,r,r,w,20220117,australian_open,r128,13:20,Rod Laver Arena,hard,Katarzyna Radwan-Cho,5,2,Zindaras,2022,6,6,6
20220117-W-Australian_Open-R128-Madison_Keys_-Sofia_Kenin,madison_keys,sofia_kenin,r,r,w,20220117,australian_open,r128,,John Caine Arena,hard,Isabell Seefried,5,2,Ángel Moreno,2022,6,6,6
20220117-W-Australian_Open-R128-Kirsten_Flipkens-Sara_Sorribes_Tormo,kirsten_flipkens,sara_sorribes_tormo,r,r,w,20220117,australian_open,r128,,6,hard,Timo Janzen,5,2,Zindaras,2022,6,6,6
20220117-W-Australian_Open-R128-Dayana_Yastremska-Madison_Brengle,dayana_yastremska,madison_brengle,r,r,w,20220117,australian_open,r128,14:20,3,hard,Manuel Absolu,5,2,Zindaras,2022,6,6,6
20220117-W-Australian_Open-R128-Camila_Giorgi-Anastasia_Potapova,camila_giorgi,anastasia_potapova,r,r,w,20220117,australian_open,r128,2pm,6,hard,,5,2,Edo,2022,6,6,6
20220117-W-Australian_Open-R128-Amanda_Anisimova-Arianne_Hartono,amanda_anisimova,arianne_hartono,r,r,w,20220117,australian_open,r128,,1573 Arena,hard,Anis Rsayssi,5,2,Zindaras,2022,6,6,6
20220114-W-Sydney-SF-Anett_Kontaveit-Barbora_Krejcikova,anett_kontaveit,barbora_krejcikova,r,r,w,20220114,sydney,sf,,,hard,,3,1,Zindaras,2022,6,6,6
20220114-W-Australian_Open-Q3-Arianne_Hartono-Jule_Niemeier,arianne_hartono,jule_niemeier,r,r,w,20220114,australian_open,q3,,13,hard,Marko Savic,5,2,Zindaras,2022,6,6,6
20220113-W-Sydney-QF-Paula_Badosa-Belinda_Bencic,paula_badosa,belinda_bencic,r,r,w,20220113,sydney,qf,,1,hard,,3,1,Zindaras,2022,6,6,6
20220113-W-Sydney-QF-Garbine_Muguruza-Daria_Kasatkina,garbine_muguruza,daria_kasatkina,r,r,w,20220113,sydney,qf,,Rosewall,hard,,3,1,Isaac,2022,6,6,6
20220112-W-Australian_Open-Q2-Indy_De_Vroome-Dalma_Galfi,indy_de_vroome,dalma_galfi,r,r,w,20220112,australian_open,q2,,5,hard,Alina da Rocha Nocinto,5,2,Zindaras,2022,6,6,6
20220111-W-Sydney-R32-Elena_Rybakina-Emma_Raducanu,elena_rybakina,emma_raducanu,r,r,w,20220111,sydney,r32,,Rosewall,hard,,3,1,Shreyas,2022,6,6,6
20220111-W-Sydney-R16-Garbine_Muguruza-Ekaterina_Alexandrova,garbine_muguruza,ekaterina_alexandrova,r,r,w,20220111,sydney,r16,,,hard,,3,1,Isaac,2022,6,6,6
20220111-W-Australian_Open-Q1-Urszula_Radwanska-Indy_De_Vroome,urszula_radwanska,indy_de_vroome,r,r,w,20220111,australian_open,q1,,14,hard,,5,2,Zindaras,2022,6,6,6
20220111-W-Australian_Open-Q1-Simona_Waltert-Paula_Ormaechea,simona_waltert,paula_ormaechea,r,r,w,20220111,australian_open,q1,,,hard,,5,2,andy,2022,6,6,6
20220110-W-Australian_Open-Q1-Yuliya_Hatouka-Caroline_Dolehide,yuliya_hatouka,caroline_dolehide,r,r,w,20220110,australian_open,q1,,,hard,,5,2,andy,2022,6,6,6
20220108-W-Adelaide-SF-Iga_Swiatek-Ashleigh_Barty,iga_swiatek,ashleigh_barty,r,r,w,20220108,adelaide,sf,,,hard,Juan Zhang,3,1,Elephant,2022,6,6,6
20220107-W-Adelaide-QF-Iga_Swiatek-Victoria_Azarenka,iga_swiatek,victoria_azarenka,r,r,w,20220107,adelaide,qf,,,hard,,3,1,Jim Albert,2022,6,6,6
20220107-W-Adelaide-QF-Ashleigh_Barty-Sofia_Kenin,ashleigh_barty,sofia_kenin,r,r,w,20220107,adelaide,qf,,Center,hard,,3,1,Lowell,2022,6,6,6
20220106-W-Melbourne-R16-Clara_Tauson-Lin_Zhu,clara_tauson,lin_zhu,r,r,w,20220106,melbourne,r16,,,hard,,3,1,Elephant,2022,6,6,6
